sample,datetime,wtemp_a_1,ltemp_a_2,wtrhgt__3,wtrhgt__4,batt_mi_5
227,4/30/21 21:40,0.5,0.5,-4,-4,3.99
228,4/30/21 21:50,0.5,0.1,-5,-4,3.99
229,4/30/21 22:00,0.5,0.1,-5,-5,3.99
230,4/30/21 22:10,0.5,0.1,-6,-6,3.99
231,4/30/21 22:20,0.5,0.1,-6,-6,3.99
232,4/30/21 22:30,0.5,0.1,-7,-7,3.99
233,4/30/21 22:40,0.5,0.1,-8,-7,3.99
234,4/30/21 22:50,0.5,0.1,-8,-8,3.99
235,4/30/21 23:00,0.5,0.1,-9,-9,3.99
236,4/30/21 23:10,0.5,0.1,-10,-9,3.99
237,4/30/21 23:20,0.5,0.1,-10,-10,3.99
238,4/30/21 23:30,0.5,0.1,-11,-11,3.99
239,4/30/21 23:40,0.5,-0.2,-12,-11,3.99
240,4/30/21 23:50,0.5,-0.2,-12,-12,3.99
241,5/1/21 0:00,0.5,-0.2,-13,-13,3.99
242,5/1/21 0:10,0.5,-0.2,-14,-13,3.99
243,5/1/21 0:20,0.5,-0.2,-14,-14,3.99
244,5/1/21 0:30,0.5,-0.2,-15,-15,3.99
245,5/1/21 0:40,0.5,-0.2,-16,-15,3.99
246,5/1/21 0:50,0.5,-0.2,-16,-16,3.99
247,5/1/21 1:00,0.5,-0.2,-17,-17,3.99
248,5/1/21 1:10,0.5,-0.2,-18,-17,3.99
249,5/1/21 1:20,0.5,-0.2,-18,-18,3.99
250,5/1/21 1:30,0.5,-0.2,-19,-18,3.99
251,5/1/21 1:40,0.5,-0.2,-19,-19,3.99
252,5/1/21 1:50,0.5,-0.2,-20,-20,3.99
253,5/1/21 2:00,0.5,-0.2,-20,-20,3.99
254,5/1/21 2:10,0.5,-0.2,-21,-21,3.99
255,5/1/21 2:20,0.5,-0.2,-21,-21,3.99
256,5/1/21 2:30,0.5,-0.2,-22,-22,3.99
257,5/1/21 2:40,0.5,-0.2,-23,-22,3.99
258,5/1/21 2:50,0.5,-0.2,-23,-23,3.99
259,5/1/21 3:00,0.5,-0.2,-24,-24,3.99
260,5/1/21 3:10,0.5,-0.2,-24,-24,3.99
261,5/1/21 3:20,0.5,-0.2,-25,-25,3.99
262,5/1/21 3:30,0.5,-0.6,-26,-25,3.99
263,5/1/21 3:40,0.5,-0.6,-26,-26,3.99
264,5/1/21 3:50,0.5,-0.6,-27,-27,3.99
265,5/1/21 4:00,0.5,-0.6,-27,-27,3.99
266,5/1/21 4:10,0.5,-0.6,-28,-28,3.99
267,5/1/21 4:20,0.5,-0.9,-29,-29,3.99
268,5/1/21 4:30,0.5,-0.9,-29,-29,3.99
269,5/1/21 4:40,0.5,-0.9,-30,-30,3.99
270,5/1/21 4:50,0.5,-0.9,-30,-30,3.99
271,5/1/21 5:00,0.5,-0.9,-31,-30,3.99
272,5/1/21 5:10,0.5,-0.9,-31,-30,3.99
273,5/1/21 5:20,0.5,-0.9,-31,-31,3.99
274,5/1/21 5:30,0.5,-0.9,-31,-31,3.99
275,5/1/21 5:40,0.5,-0.9,-31,-31,3.99
276,5/1/21 5:50,0.5,-0.9,-31,-31,3.99
277,5/1/21 6:00,0.5,-1.3,-31,-31,3.99
278,5/1/21 6:10,0.5,-1.3,-31,-31,3.99
279,5/1/21 6:20,0.5,-1.3,-31,-31,3.99
280,5/1/21 6:30,0.5,-1.3,-31,-31,3.99
281,5/1/21 6:40,0.5,-1.3,-32,-31,3.99
282,5/1/21 6:50,0.5,-1.3,-32,-32,3.99
283,5/1/21 7:00,0.5,-1.3,-33,-32,3.99
284,5/1/21 7:10,0.5,-0.9,-33,-33,3.99
285,5/1/21 7:20,0.5,-0.9,-34,-34,3.99
286,5/1/21 7:30,0.5,-0.6,-35,-34,3.99
287,5/1/21 7:40,0.5,-0.2,-35,-35,3.99
288,5/1/21 7:50,0.5,-0.2,-36,-35,3.99
289,5/1/21 8:00,0.5,0.1,-36,-36,3.99
290,5/1/21 8:10,0.5,0.1,-37,-37,3.99
291,5/1/21 8:20,0.5,0.5,-37,-37,3.99
292,5/1/21 8:30,0.5,0.5,-38,-38,3.99
293,5/1/21 8:40,0.5,0.5,-39,-38,3.99
294,5/1/21 8:50,0.5,0.5,-39,-39,3.99
295,5/1/21 9:00,0.5,0.8,-40,-39,3.99
296,5/1/21 9:10,0.5,0.8,-40,-40,3.99
297,5/1/21 9:20,0.5,1.2,-41,-40,3.99
298,5/1/21 9:30,0.5,1.2,-41,-41,3.99
299,5/1/21 9:40,0.5,1.2,-42,-42,3.99
300,5/1/21 9:50,0.5,1.5,-42,-42,3.99
301,5/1/21 10:00,0.5,1.5,-43,-43,3.99
302,5/1/21 10:10,0.5,1.5,-44,-43,3.99
303,5/1/21 10:20,0.5,1.9,-44,-44,3.99
304,5/1/21 10:30,0.5,2.5,-45,-44,3.99
305,5/1/21 10:40,0.5,2.9,-45,-45,3.99
306,5/1/21 10:50,0.5,3.2,-45,-45,3.99
307,5/1/21 11:00,0.5,3.5,-46,-46,3.99
308,5/1/21 11:10,0.5,3.9,-46,-46,3.99
309,5/1/21 11:20,0.5,4.2,-46,-46,3.99
310,5/1/21 11:30,0.5,4.2,-46,-46,3.99
311,5/1/21 11:40,0.5,4.6,-47,-47,3.99
312,5/1/21 11:50,0.5,5.2,-47,-47,3.99
313,5/1/21 12:00,0.5,5.6,-47,-47,3.99
314,5/1/21 12:10,0.5,5.9,-47,-47,3.99
315,5/1/21 12:20,0.5,6.5,-48,-47,3.99
316,5/1/21 12:30,0.5,6.9,-48,-48,3.99
317,5/1/21 12:40,0.5,7.2,-48,-48,3.99
318,5/1/21 12:50,0.5,7.2,-48,-48,3.99
319,5/1/21 13:00,0.5,7.5,-48,-48,3.99
320,5/1/21 13:10,0.5,7.2,-48,-48,3.99
321,5/1/21 13:20,0.5,7.2,-48,-48,3.99
322,5/1/21 13:30,0.5,6.9,-48,-48,3.99
323,5/1/21 13:40,0.5,6.9,-48,-48,3.99
324,5/1/21 13:50,0.5,6.9,-48,-48,3.99
325,5/1/21 14:00,0.5,7.2,-49,-48,3.99
326,5/1/21 14:10,0.5,7.5,-49,-49,3.99
327,5/1/21 14:20,0.5,7.9,-49,-49,3.99
328,5/1/21 14:30,0.5,7.9,-49,-49,3.99
329,5/1/21 14:40,0.5,8.5,-49,-49,3.99
330,5/1/21 14:50,0.5,8.9,-49,-49,3.99
331,5/1/21 15:00,0.5,9.2,-49,-49,3.99
332,5/1/21 15:10,0.5,9.5,-49,-49,3.99
333,5/1/21 15:20,0.5,9.5,-49,-49,3.99
334,5/1/21 15:30,0.5,10.5,-49,-49,3.99
335,5/1/21 15:40,0.5,10.8,-49,-49,3.99
336,5/1/21 15:50,0.5,10.2,-49,-49,3.99
337,5/1/21 16:00,0.5,9.5,-49,-49,3.99
338,5/1/21 16:10,0.5,9.2,-49,-49,3.99
339,5/1/21 16:20,0.5,8.9,-49,-49,3.99
340,5/1/21 16:30,0.5,8.5,-49,-49,3.99
341,5/1/21 16:40,0.5,8.5,-49,-49,3.99
342,5/1/21 16:50,0.5,8.9,-49,-49,3.99
343,5/1/21 17:00,0.5,8.5,-49,-49,3.99
344,5/1/21 17:10,0.5,8.2,-49,-49,3.99
345,5/1/21 17:20,0.5,7.5,-49,-49,3.99
346,5/1/21 17:30,0.5,6.9,-49,-49,3.99
347,5/1/21 17:40,0.5,6.5,-49,-49,3.99
348,5/1/21 17:50,0.5,5.9,-49,-49,3.99
349,5/1/21 18:00,0.5,5.6,-49,-49,3.99
350,5/1/21 18:10,0.5,5.2,-49,-49,3.99
351,5/1/21 18:20,0.5,4.9,-49,-49,3.99
352,5/1/21 18:30,0.5,4.6,-49,-49,3.99
353,5/1/21 18:40,0.5,4.2,-49,-49,3.99
354,5/1/21 18:50,0.5,3.9,-49,-49,3.99
355,5/1/21 19:00,0.5,3.5,-49,-49,3.99
356,5/1/21 19:10,0.5,3.5,-49,-49,3.99
357,5/1/21 19:20,0.5,3.2,-49,-49,3.99
358,5/1/21 19:30,0.5,2.9,-49,-49,3.99
359,5/1/21 19:40,0.5,2.9,-49,-49,3.99
360,5/1/21 19:50,0.5,2.5,-49,-49,3.99
361,5/1/21 20:00,0.5,2.2,-49,-49,3.99
362,5/1/21 20:10,0.5,1.9,-49,-49,3.99
363,5/1/21 20:20,0.5,1.9,-49,-49,3.99
364,5/1/21 20:30,0.5,1.5,-49,-49,3.99
365,5/1/21 20:40,0.5,1.5,-49,-49,3.99
366,5/1/21 20:50,0.5,1.2,-50,-50,3.99
367,5/1/21 21:00,0.5,1.2,-50,-50,3.99
368,5/1/21 21:10,0.5,1.2,-50,-50,3.99
369,5/1/21 21:20,0.5,1.2,-50,-50,3.99
370,5/1/21 21:30,0.5,0.8,-50,-50,3.99
371,5/1/21 21:40,0.5,0.8,-50,-50,3.99
372,5/1/21 21:50,0.5,0.8,-50,-50,3.99
373,5/1/21 22:00,0.5,0.8,-50,-50,3.99
374,5/1/21 22:10,0.5,1.2,-50,-50,3.99
375,5/1/21 22:20,0.5,1.2,-50,-50,3.99
376,5/1/21 22:30,0.5,1.2,-50,-50,3.99
377,5/1/21 22:40,0.5,1.2,-50,-50,3.99
378,5/1/21 22:50,0.5,1.2,-50,-50,3.99
379,5/1/21 23:00,0.5,1.2,-50,-50,3.99
380,5/1/21 23:10,0.5,1.2,-50,-50,3.99
381,5/1/21 23:20,0.5,1.2,-50,-50,3.99
382,5/1/21 23:30,0.5,1.2,-50,-50,3.99
383,5/1/21 23:40,0.5,1.2,-50,-50,3.99
384,5/1/21 23:50,0.5,1.2,-50,-50,3.99
385,5/2/21 0:00,0.5,1.2,-50,-50,3.99
386,5/2/21 0:10,0.5,1.2,-50,-50,3.99
387,5/2/21 0:20,0.5,1.2,-50,-50,3.99
388,5/2/21 0:30,0.5,1.2,-50,-50,3.99
389,5/2/21 0:40,0.5,0.8,-50,-50,3.99
390,5/2/21 0:50,0.5,0.8,-50,-50,3.99
391,5/2/21 1:00,0.5,0.8,-50,-50,3.99
392,5/2/21 1:10,0.5,0.8,-50,-50,3.99
393,5/2/21 1:20,0.5,0.5,-50,-50,3.99
394,5/2/21 1:30,0.5,0.5,-49,-50,3.99
395,5/2/21 1:40,0.5,0.5,-49,-49,3.99
396,5/2/21 1:50,0.5,0.5,-49,-49,3.99
397,5/2/21 2:00,0.5,0.5,-49,-49,3.99
398,5/2/21 2:10,0.5,0.1,-49,-49,3.99
399,5/2/21 2:20,0.5,0.1,-49,-49,3.99
400,5/2/21 2:30,0.5,0.1,-49,-49,3.99
401,5/2/21 2:40,0.5,0.1,-49,-49,3.99
402,5/2/21 2:50,0.5,0.1,-49,-49,3.99
403,5/2/21 3:00,0.5,-0.2,-49,-49,3.99
404,5/2/21 3:10,0.5,-0.2,-49,-49,3.99
405,5/2/21 3:20,0.5,-0.2,-49,-49,3.99
406,5/2/21 3:30,0.5,0.1,-49,-49,3.99
407,5/2/21 3:40,0.5,0.1,-49,-49,3.99
408,5/2/21 3:50,0.5,0.1,-49,-49,3.99
409,5/2/21 4:00,0.5,0.1,-49,-49,3.99
410,5/2/21 4:10,0.5,0.1,-49,-49,3.99
411,5/2/21 4:20,0.5,0.1,-49,-49,3.99
412,5/2/21 4:30,0.5,0.1,-49,-49,3.99
413,5/2/21 4:40,0.5,0.1,-49,-49,3.99
414,5/2/21 4:50,0.5,0.1,-49,-49,3.99
415,5/2/21 5:00,0.5,0.1,-49,-49,3.99
416,5/2/21 5:10,0.5,0.1,-49,-49,3.99
417,5/2/21 5:20,0.5,0.1,-49,-49,3.99
418,5/2/21 5:30,0.5,0.1,-49,-49,3.99
419,5/2/21 5:40,0.5,0.1,-49,-49,3.99
420,5/2/21 5:50,0.5,-0.2,-49,-49,3.99
421,5/2/21 6:00,0.5,-0.2,-49,-49,3.99
422,5/2/21 6:10,0.5,-0.2,-49,-49,3.99
423,5/2/21 6:20,0.5,-0.2,-49,-49,3.99
424,5/2/21 6:30,0.5,-0.2,-49,-49,3.99
425,5/2/21 6:40,0.5,0.1,-49,-49,3.99
426,5/2/21 6:50,0.5,0.1,-49,-49,3.99
427,5/2/21 7:00,0.5,0.1,-49,-49,3.99
428,5/2/21 7:10,0.5,0.5,-49,-49,3.99
429,5/2/21 7:20,0.5,0.5,-49,-49,3.99
430,5/2/21 7:30,0.5,0.5,-49,-49,3.99
431,5/2/21 7:40,0.5,0.5,-49,-49,3.99
432,5/2/21 7:50,0.5,0.5,-49,-49,3.99
433,5/2/21 8:00,0.5,0.5,-49,-49,3.99
434,5/2/21 8:10,0.5,0.5,-49,-49,3.99
435,5/2/21 8:20,0.5,0.8,-49,-49,3.99
436,5/2/21 8:30,0.5,0.8,-49,-49,3.99
437,5/2/21 8:40,0.5,1.2,-49,-49,3.99
438,5/2/21 8:50,0.5,1.2,-49,-49,3.99
