"Plot Title: 20879900"
"#","Date Time, GMT-06:00","Abs Pres, kPa (LGR S/N: 20879900, SEN S/N: 20879900)","Temp, °C (LGR S/N: 20879900, SEN S/N: 20879900)","Coupler Detached (LGR S/N: 20879900)","Coupler Attached (LGR S/N: 20879900)","Host Connected (LGR S/N: 20879900)","Stopped (LGR S/N: 20879900)","End Of File (LGR S/N: 20879900)"
229,09/18/20 06:50:00 AM,70.533,2.837,,,,,
230,09/18/20 07:00:00 AM,70.543,2.837,,,,,
231,09/18/20 07:10:00 AM,70.527,2.730,,,,,
232,09/18/20 07:20:00 AM,70.547,2.730,,,,,
233,09/18/20 07:30:00 AM,70.527,2.730,,,,,
234,09/18/20 07:40:00 AM,70.547,2.730,,,,,
235,09/18/20 07:50:00 AM,70.543,2.837,,,,,
236,09/18/20 08:00:00 AM,70.539,2.943,,,,,
237,09/18/20 08:10:00 AM,70.544,3.049,,,,,
238,09/18/20 08:20:00 AM,70.540,3.155,,,,,
239,09/18/20 08:30:00 AM,70.551,3.367,,,,,
240,09/18/20 08:40:00 AM,70.543,3.578,,,,,
241,09/18/20 08:50:00 AM,70.544,3.788,,,,,
242,09/18/20 09:00:00 AM,70.555,3.998,,,,,
243,09/18/20 09:10:00 AM,70.557,4.415,,,,,
244,09/18/20 09:20:00 AM,70.563,4.727,,,,,
245,09/18/20 09:30:00 AM,70.569,5.037,,,,,
246,09/18/20 09:40:00 AM,70.580,5.450,,,,,
247,09/18/20 09:50:00 AM,70.581,5.860,,,,,
248,09/18/20 10:00:00 AM,70.581,6.268,,,,,
249,09/18/20 10:10:00 AM,70.581,6.674,,,,,
250,09/18/20 10:20:00 AM,70.591,7.079,,,,,
251,09/18/20 10:30:00 AM,70.590,7.481,,,,,
252,09/18/20 10:40:00 AM,70.590,7.882,,,,,
253,09/18/20 10:50:00 AM,70.593,8.382,,,,,
254,09/18/20 11:00:00 AM,70.577,8.879,,,,,
255,09/18/20 11:10:00 AM,70.579,9.373,,,,,
256,09/18/20 11:20:00 AM,70.587,9.768,,,,,
257,09/18/20 11:30:00 AM,70.576,9.965,,,,,
258,09/18/20 11:40:00 AM,70.574,10.357,,,,,
259,09/18/20 11:50:00 AM,70.566,10.846,,,,,
260,09/18/20 12:00:00 PM,70.565,11.528,,,,,
261,09/18/20 12:10:00 PM,70.530,12.594,,,,,
262,09/18/20 12:20:00 PM,70.541,13.846,,,,,
263,09/18/20 12:30:00 PM,70.543,14.421,,,,,
