watershed,site,date,time,adj_wtr_ht,level_flag
fool,fc2,2020-08-16,11:20,172,In Range
fool,fc2,2020-08-16,11:30,172,In Range
fool,fc2,2020-08-16,11:40,172,In Range
fool,fc2,2020-08-16,11:50,172,In Range
fool,fc2,2020-08-16,12:00,172,In Range
fool,fc2,2020-08-16,12:10,172,In Range
fool,fc2,2020-08-16,12:20,172,In Range
fool,fc2,2020-08-16,12:30,172,In Range
fool,fc2,2020-08-16,12:40,172,In Range
fool,fc2,2020-08-16,12:50,173,In Range
fool,fc2,2020-08-16,13:00,173,In Range
fool,fc2,2020-08-16,13:10,173,In Range
fool,fc2,2020-08-16,13:20,173,In Range
fool,fc2,2020-08-16,13:30,173,In Range
fool,fc2,2020-08-16,13:40,173,In Range
fool,fc2,2020-08-16,13:50,173,In Range
fool,fc2,2020-08-16,14:00,173,In Range
fool,fc2,2020-08-16,14:10,173,In Range
fool,fc2,2020-08-16,14:20,173,In Range
fool,fc2,2020-08-16,14:30,173,In Range
fool,fc2,2020-08-16,14:40,173,In Range
fool,fc2,2020-08-16,14:50,172,In Range
fool,fc2,2020-08-16,15:00,172,In Range
fool,fc2,2020-08-16,15:10,172,In Range
fool,fc2,2020-08-16,15:20,172,In Range
fool,fc2,2020-08-16,15:30,172,In Range
fool,fc2,2020-08-16,15:40,172,In Range
fool,fc2,2020-08-16,15:50,172,In Range
fool,fc2,2020-08-16,16:00,172,In Range
fool,fc2,2020-08-16,16:10,172,In Range
fool,fc2,2020-08-16,16:20,172,In Range
fool,fc2,2020-08-16,16:30,172,In Range
fool,fc2,2020-08-16,16:40,172,In Range
fool,fc2,2020-08-16,16:50,172,In Range
fool,fc2,2020-08-16,17:00,172,In Range
fool,fc2,2020-08-16,17:10,172,In Range
fool,fc2,2020-08-16,17:20,172,In Range
fool,fc2,2020-08-16,17:30,172,In Range
fool,fc2,2020-08-16,17:40,172,In Range
fool,fc2,2020-08-16,17:50,172,In Range
fool,fc2,2020-08-16,18:00,172,In Range
fool,fc2,2020-08-16,18:10,172,In Range
fool,fc2,2020-08-16,18:20,172,In Range
fool,fc2,2020-08-16,18:30,172,In Range
fool,fc2,2020-08-16,18:40,172,In Range
fool,fc2,2020-08-16,18:50,172,In Range
fool,fc2,2020-08-16,19:00,172,In Range
fool,fc2,2020-08-16,19:10,172,In Range
fool,fc2,2020-08-16,19:20,172,In Range
fool,fc2,2020-08-16,19:30,172,In Range
fool,fc2,2020-08-16,19:40,172,In Range
fool,fc2,2020-08-16,19:50,172,In Range
fool,fc2,2020-08-16,20:00,172,In Range
fool,fc2,2020-08-16,20:10,172,In Range
fool,fc2,2020-08-16,20:20,172,In Range
fool,fc2,2020-08-16,20:30,172,In Range
fool,fc2,2020-08-16,20:40,172,In Range
fool,fc2,2020-08-16,20:50,172,In Range
fool,fc2,2020-08-16,21:00,172,In Range
fool,fc2,2020-08-16,21:10,172,In Range
