date,time,voltage_mv,co2_ppm
6/25/21,11:50:44,117.805,392.6833333
6/25/21,12:00:44,122.49,408.3
6/25/21,12:10:44,119.95,399.8333333
6/25/21,12:20:44,120.18,400.6
6/25/21,12:30:44,123.165,410.55
6/25/21,12:40:44,121.22,404.0666667
6/25/21,12:50:44,120.605,402.0166667
6/25/21,13:00:44,120.745,402.4833333
6/25/21,13:10:44,123.225,410.75
6/25/21,13:20:44,120.07,400.2333333
6/25/21,13:30:44,119.78,399.2666667
6/25/21,13:40:44,120.265,400.8833333
6/25/21,13:50:44,123.605,412.0166667
6/25/21,14:00:44,124.78,415.9333333
6/25/21,14:10:44,126.08,420.2666667
6/25/21,14:20:44,125.7,419
6/25/21,14:30:44,123.665,412.2166667
6/25/21,14:40:44,123.17,410.5666667
6/25/21,14:50:44,120.19,400.6333333
6/25/21,15:00:44,119.375,397.9166667
6/25/21,15:10:44,121.65,405.5
6/25/21,15:20:44,119.845,399.4833333
6/25/21,15:30:44,116.445,388.15
6/25/21,15:40:44,116.47,388.2333333
6/25/21,15:50:44,114.11,380.3666667
6/25/21,16:00:44,114.37,381.2333333
6/25/21,16:10:44,115.065,383.55
6/25/21,16:20:44,112.15,373.8333333
6/25/21,16:30:44,115.265,384.2166667
6/25/21,16:40:44,117.62,392.0666667
6/25/21,16:50:44,114.81,382.7
6/25/21,17:00:44,113.665,378.8833333
6/25/21,17:10:44,115.325,384.4166667
6/25/21,17:20:44,115.895,386.3166667
6/25/21,17:30:44,114.725,382.4166667
6/25/21,17:40:44,112.76,375.8666667
6/25/21,17:50:44,118.56,395.2
6/25/21,18:00:44,119.25,397.5
6/25/21,18:10:44,116.145,387.15
6/25/21,18:20:44,118.705,395.6833333
6/25/21,18:30:44,119.375,397.9166667
6/25/21,18:40:44,117.47,391.5666667
6/25/21,18:50:44,117.975,393.25
6/25/21,19:00:44,118.52,395.0666667
6/25/21,19:10:44,120.28,400.9333333
6/25/21,19:20:44,121.92,406.4
6/25/21,19:30:44,120.955,403.1833333
6/25/21,19:40:44,119.91,399.7
6/25/21,19:50:44,120.135,400.45
6/25/21,20:00:44,120.09,400.3
6/25/21,20:10:44,122.475,408.25
6/25/21,20:20:44,117.695,392.3166667
6/25/21,20:30:44,120.705,402.35
6/25/21,20:40:44,118.125,393.75
6/25/21,20:50:44,123.335,411.1166667
6/25/21,21:00:44,123.52,411.7333333
6/25/21,21:10:44,125.19,417.3
6/25/21,21:20:44,120.855,402.85
6/25/21,21:30:44,126.725,422.4166667
6/25/21,21:40:44,124.445,414.8166667
6/25/21,21:50:44,125.275,417.5833333
6/25/21,22:00:44,127.19,423.9666667
6/25/21,22:10:44,122.605,408.6833333
6/25/21,22:20:44,122.77,409.2333333
6/25/21,22:30:44,122.28,407.6
6/25/21,22:40:44,125.68,418.9333333
6/25/21,22:50:44,127.27,424.2333333
6/25/21,23:00:44,122.565,408.55
6/25/21,23:10:44,119.97,399.9
6/25/21,23:20:44,122.4,408
6/25/21,23:30:44,122.455,408.1833333
6/25/21,23:40:44,122.905,409.6833333
6/25/21,23:50:44,123.29,410.9666667
6/26/21,0:00:44,123.67,412.2333333
6/26/21,0:10:44,125.61,418.7
6/26/21,0:20:44,125.42,418.0666667
6/26/21,0:30:44,125.355,417.85
6/26/21,0:40:44,125.12,417.0666667
6/26/21,0:50:44,125.155,417.1833333
6/26/21,1:00:44,125.575,418.5833333
6/26/21,1:10:44,129.275,430.9166667
6/26/21,1:20:44,127.76,425.8666667
6/26/21,1:30:44,127.62,425.4
6/26/21,1:40:44,127.81,426.0333333
6/26/21,1:50:44,129.515,431.7166667
6/26/21,2:00:44,130.365,434.55
6/26/21,2:10:44,132.055,440.1833333
6/26/21,2:20:44,130.2,434
6/26/21,2:30:44,127.575,425.25
6/26/21,2:40:44,130.665,435.55
6/26/21,2:50:44,129.82,432.7333333
6/26/21,3:00:44,126.065,420.2166667
6/26/21,3:10:44,121.145,403.8166667
6/26/21,3:20:44,119.065,396.8833333
6/26/21,3:30:44,117.64,392.1333333
6/26/21,3:40:44,116.015,386.7166667
6/26/21,3:50:44,117.08,390.2666667
6/26/21,4:00:44,117.525,391.75
6/26/21,4:10:44,120.26,400.8666667
6/26/21,4:20:44,120.095,400.3166667
6/26/21,4:30:44,122.08,406.9333333
6/26/21,4:40:44,124.995,416.65
6/26/21,4:50:44,123.565,411.8833333
6/26/21,5:00:44,123.165,410.55
6/26/21,5:10:44,127.57,425.2333333
6/26/21,5:20:44,128.96,429.8666667
6/26/21,5:30:44,130.07,433.5666667
6/26/21,5:40:44,128.01,426.7
6/26/21,5:50:44,127.15,423.8333333
6/26/21,6:00:44,126.51,421.7
6/26/21,6:10:44,128.655,428.85
6/26/21,6:20:44,127.785,425.95
6/26/21,6:30:44,127.625,425.4166667
6/26/21,6:40:44,129.335,431.1166667
6/26/21,6:50:44,129.955,433.1833333
6/26/21,7:00:44,126.155,420.5166667
6/26/21,7:10:44,127.675,425.5833333
6/26/21,7:20:44,127.78,425.9333333
6/26/21,7:30:44,124.88,416.2666667
6/26/21,7:40:44,127.11,423.7
6/26/21,7:50:44,125.13,417.1
6/26/21,8:00:44,122.685,408.95
6/26/21,8:10:44,122.27,407.5666667
6/26/21,8:20:44,123.06,410.2
6/26/21,8:30:44,120.43,401.4333333
6/26/21,8:40:44,117.685,392.2833333
6/26/21,8:50:44,119.6,398.6666667
6/26/21,9:00:44,120.65,402.1666667
6/26/21,9:10:44,122.82,409.4
6/26/21,9:20:44,122.455,408.1833333
6/26/21,9:30:44,122.715,409.05
6/26/21,9:40:44,122.13,407.1
6/26/21,9:50:44,120.625,402.0833333
6/26/21,10:00:44,120.135,400.45
6/26/21,10:10:44,123.05,410.1666667
6/26/21,10:20:44,122.79,409.3
6/26/21,10:30:44,122.345,407.8166667
6/26/21,10:40:44,123.56,411.8666667
6/26/21,10:50:44,119.64,398.8
6/26/21,11:00:44,123.195,410.65
6/26/21,11:10:44,123.355,411.1833333
6/26/21,11:20:44,120.12,400.4
6/26/21,11:30:44,125.11,417.0333333
6/26/21,11:40:44,120.21,400.7
6/26/21,11:50:44,125.805,419.35
6/26/21,12:00:44,122.89,409.6333333
6/26/21,12:10:44,122.49,408.3
6/26/21,12:20:44,122.63,408.7666667
6/26/21,12:30:44,123.345,411.15
6/26/21,12:40:44,120.465,401.55
6/26/21,12:50:44,123.535,411.7833333
6/26/21,13:00:44,122.595,408.65
6/26/21,13:10:44,122.65,408.8333333
6/26/21,13:20:44,125.57,418.5666667
6/26/21,13:30:44,125.395,417.9833333
6/26/21,13:40:44,128.395,427.9833333
6/26/21,13:50:44,121.625,405.4166667
6/26/21,14:00:44,125.61,418.7
6/26/21,14:10:44,121.095,403.65
6/26/21,14:20:44,125.14,417.1333333
6/26/21,14:30:44,123.8,412.6666667
6/26/21,14:40:44,121.52,405.0666667
6/26/21,14:50:44,120.685,402.2833333
6/26/21,15:00:44,121.85,406.1666667
6/26/21,15:10:44,124.375,414.5833333
6/26/21,15:20:44,120.38,401.2666667
6/26/21,15:30:44,123.015,410.05
6/26/21,15:40:44,123.465,411.55
6/26/21,15:50:44,120.09,400.3
6/26/21,16:00:44,125.685,418.95
6/26/21,16:10:44,123.32,411.0666667
6/26/21,16:20:44,122.095,406.9833333
6/26/21,16:30:44,123.81,412.7
6/26/21,16:40:44,120.005,400.0166667
6/26/21,16:50:44,120.43,401.4333333
6/26/21,17:00:44,120.27,400.9
6/26/21,17:10:44,118.365,394.55
6/26/21,17:20:44,118.075,393.5833333
6/26/21,17:30:44,119.835,399.45
6/26/21,17:40:44,119.94,399.8
6/26/21,17:50:44,122.445,408.15
6/26/21,18:00:44,116.88,389.6
6/26/21,18:10:44,115.26,384.2
6/26/21,18:20:44,112.525,375.0833333
6/26/21,18:30:44,110.64,368.8
6/26/21,18:40:44,113.58,378.6
6/26/21,18:50:44,113.335,377.7833333
6/26/21,19:00:44,112.82,376.0666667
6/26/21,19:10:44,112.56,375.2
6/26/21,19:20:44,115.265,384.2166667
6/26/21,19:30:44,117.625,392.0833333
6/26/21,19:40:44,114.985,383.2833333
6/26/21,19:50:44,111.495,371.65
6/26/21,20:00:44,115.17,383.9
6/26/21,20:10:44,114.215,380.7166667
6/26/21,20:20:44,115.945,386.4833333
6/26/21,20:30:44,116.915,389.7166667
6/26/21,20:40:44,117.745,392.4833333
6/26/21,20:50:44,117.445,391.4833333
6/26/21,21:00:44,120.1,400.3333333
6/26/21,21:10:44,118.975,396.5833333
6/26/21,21:20:44,122.37,407.9
6/26/21,21:30:44,120.11,400.3666667
6/26/21,21:40:44,121.045,403.4833333
6/26/21,21:50:44,120.165,400.55
6/26/21,22:00:44,122.225,407.4166667
6/26/21,22:10:44,127.745,425.8166667
6/26/21,22:20:44,123.715,412.3833333
6/26/21,22:30:44,125.185,417.2833333
6/26/21,22:40:44,128.725,429.0833333
6/26/21,22:50:44,127.775,425.9166667
6/26/21,23:00:44,121.62,405.4
6/26/21,23:10:44,120.245,400.8166667
6/26/21,23:20:44,119.83,399.4333333
6/26/21,23:30:44,119.725,399.0833333
6/26/21,23:40:44,122.05,406.8333333
6/26/21,23:50:44,123.925,413.0833333
6/27/21,0:00:44,122.52,408.4
6/27/21,0:10:44,120.27,400.9
6/27/21,0:20:44,125.035,416.7833333
6/27/21,0:30:44,125.22,417.4
6/27/21,0:40:44,127.545,425.15
6/27/21,0:50:44,128.9,429.6666667
6/27/21,1:00:44,126.165,420.55
6/27/21,1:10:44,127.49,424.9666667
6/27/21,1:20:44,125.83,419.4333333
6/27/21,1:30:44,124.92,416.4
6/27/21,1:40:44,122.695,408.9833333
6/27/21,1:50:44,128.65,428.8333333
6/27/21,2:00:44,128.535,428.45
6/27/21,2:10:44,125.02,416.7333333
6/27/21,2:20:44,125.085,416.95
6/27/21,2:30:44,127.02,423.4
6/27/21,2:40:44,125.205,417.35
6/27/21,2:50:44,125.1,417
6/27/21,3:00:44,126.505,421.6833333
6/27/21,3:10:44,124.205,414.0166667
6/27/21,3:20:44,125.055,416.85
6/27/21,3:30:44,125.595,418.65
6/27/21,3:40:44,122.585,408.6166667
6/27/21,3:50:44,125.425,418.0833333
